,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
694,DRESSER RAND CO,30.320090000000004,-81.75783,http://echo.epa.gov/detailed-facility-report?fid=110064134271,FLD982137184,FL,268.A,Land Disposal Restrictions: General,S  ,08/26/1994,09/21/1994,11/25/1994
695,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,01/05/2011,01/06/2011,
696,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,262.A,Standards Applicable to Generators of HW: General,S  ,03/29/2005,12/05/2005,
697,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,268.A,Land Disposal Restrictions: General,S  ,03/27/1990,04/01/1991,
698,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,279.C,Standards for Used Oil: Generators,S  ,03/29/2005,12/05/2005,
699,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,262.A,Standards Applicable to Generators of HW: General,S  ,09/07/2016,10/17/2016,
700,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,262.A,Standards Applicable to Generators of HW: General,S  ,03/27/1990,04/01/1991,
701,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,03/29/2005,12/05/2005,
702,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,03/29/2005,12/05/2005,
703,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,09/07/2016,03/08/2017,
704,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,268.A,Land Disposal Restrictions: General,S  ,03/29/2005,12/05/2005,
705,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,279.C,Standards for Used Oil: Generators,S  ,01/05/2011,01/06/2011,
706,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,265.A,Interim Status Standards for Owners and Operators of HW TSDs: General,S  ,03/29/2005,12/05/2005,
707,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/05/2011,01/06/2011,
708,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,265.N,Interim Status Standards for Owners and Operators of HW TSDs: Landfills,S  ,03/29/2005,02/27/2006,
709,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,03/29/2005,12/05/2005,
710,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,265.P,Interim Status Standards for Owners and Operators of HW TSDs: Thermal Treatment,S  ,03/29/2005,12/05/2005,
711,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,FLD982172165,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/29/2005,12/05/2005,
712,CHRISTEN LAUDON,29.981091999999997,-81.66264699999998,http://echo.epa.gov/detailed-facility-report?fid=110005611551,FLD984223016,FL,261.A,ID and Listing of HW: General,S  ,01/20/2011,01/21/2011,
713,JOHN WAGNER AUTO REPAIR,29.646637,-82.32469300000002,http://echo.epa.gov/detailed-facility-report?fid=110005619900,FLD984245688,FL,279.C,Standards for Used Oil: Generators,S  ,04/09/1998,04/09/1998,04/09/1998
714,AIR COMPRESSOR PRODUCTS,30.285996,-81.635548,http://echo.epa.gov/detailed-facility-report?fid=110005630692,FLR000007922,FL,261.A,ID and Listing of HW: General,S  ,06/01/1995,06/01/1995,
715,AIR COMPRESSOR PRODUCTS,30.285996,-81.635548,http://echo.epa.gov/detailed-facility-report?fid=110005630692,FLR000007922,FL,279.C,Standards for Used Oil: Generators,S  ,04/21/2004,08/10/2004,
716,AIR COMPRESSOR PRODUCTS,30.285996,-81.635548,http://echo.epa.gov/detailed-facility-report?fid=110005630692,FLR000007922,FL,261.A,ID and Listing of HW: General,S  ,04/21/2004,08/10/2004,
717,DR DANS AUTOBODY & REPAIR,30.240536,-81.696314,http://echo.epa.gov/detailed-facility-report?fid=110005645793,FLR000037937,FL,261.A,ID and Listing of HW: General,S  ,12/03/1997,12/23/1997,01/16/1998
718,DR DANS AUTOBODY & REPAIR,30.240536,-81.696314,http://echo.epa.gov/detailed-facility-report?fid=110005645793,FLR000037937,FL,279.C,Standards for Used Oil: Generators,S  ,12/03/1997,12/23/1997,01/16/1998
719,BIG MIKE'S AUTO INC,28.640936,-81.464232,http://echo.epa.gov/detailed-facility-report?fid=110015626937,FLR000044941,FL,279.C,Standards for Used Oil: Generators,S  ,04/10/2002,04/30/2002,
720,BIG MIKE'S AUTO INC,28.640936,-81.464232,http://echo.epa.gov/detailed-facility-report?fid=110015626937,FLR000044941,FL,279.C,Standards for Used Oil: Generators,S  ,06/25/2004,03/12/2009,
721,BIG MIKE'S AUTO INC,28.640936,-81.464232,http://echo.epa.gov/detailed-facility-report?fid=110015626937,FLR000044941,FL,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,04/10/2002,04/30/2002,
722,INTERNATIONAL TRADE CO,30.326938000000002,-81.593784,http://echo.epa.gov/detailed-facility-report?fid=110016732231,FLR000099598,FL,279.C,Standards for Used Oil: Generators,S  ,03/12/2009,03/19/2010,
723,INTERNATIONAL TRADE CO,30.326938000000002,-81.593784,http://echo.epa.gov/detailed-facility-report?fid=110016732231,FLR000099598,FL,279.C,Standards for Used Oil: Generators,S  ,06/24/2003,11/14/2003,
724,INTERNATIONAL TRADE CO,30.326938000000002,-81.593784,http://echo.epa.gov/detailed-facility-report?fid=110016732231,FLR000099598,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,03/12/2009,03/19/2010,
725,INTERNATIONAL TRADE CO,30.326938000000002,-81.593784,http://echo.epa.gov/detailed-facility-report?fid=110016732231,FLR000099598,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,06/24/2003,11/14/2003,
726,NUFLO INC,30.359718,-81.643088,http://echo.epa.gov/detailed-facility-report?fid=110042432800,FLR000170092,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,10/01/2010,10/27/2010,
727,NUFLO INC,30.359718,-81.643088,http://echo.epa.gov/detailed-facility-report?fid=110042432800,FLR000170092,FL,262.A,Standards Applicable to Generators of HW: General,S  ,10/01/2010,10/14/2010,
728,SUNCRETE,28.808475,-81.29682,http://echo.epa.gov/detailed-facility-report?fid=110005611132,FLD984220210,FL,261.A,ID and Listing of HW: General,S  ,08/19/1991,10/07/1991,
729,HOME DEPOT #261,28.55198,-81.47671,http://echo.epa.gov/detailed-facility-report?fid=110007460835,FLD984243519,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/18/2018,06/19/2018,
730,AMERISOURCEBERGEN CORPORATION,28.458182,-81.42078199999997,http://echo.epa.gov/detailed-facility-report?fid=110005661514,FLR000065029,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,08/12/2002,12/19/2002,
731,AMERISOURCEBERGEN CORPORATION,28.458182,-81.42078199999997,http://echo.epa.gov/detailed-facility-report?fid=110005661514,FLR000065029,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/25/2000,08/03/2000,
732,AMERISOURCEBERGEN CORPORATION,28.458182,-81.42078199999997,http://echo.epa.gov/detailed-facility-report?fid=110005661514,FLR000065029,FL,268.A,Land Disposal Restrictions: General,S  ,04/25/2000,08/03/2000,
733,AMERISOURCEBERGEN CORPORATION,28.458182,-81.42078199999997,http://echo.epa.gov/detailed-facility-report?fid=110005661514,FLR000065029,FL,265.P,Interim Status Standards for Owners and Operators of HW TSDs: Thermal Treatment,S  ,08/12/2002,12/19/2002,
734,AMERISOURCEBERGEN CORPORATION,28.458182,-81.42078199999997,http://echo.epa.gov/detailed-facility-report?fid=110005661514,FLR000065029,FL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,08/12/2002,12/19/2002,
735,AMERISOURCEBERGEN CORPORATION,28.458182,-81.42078199999997,http://echo.epa.gov/detailed-facility-report?fid=110005661514,FLR000065029,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,08/12/2002,12/19/2002,
736,AMERISOURCEBERGEN CORPORATION,28.458182,-81.42078199999997,http://echo.epa.gov/detailed-facility-report?fid=110005661514,FLR000065029,FL,262.A,Standards Applicable to Generators of HW: General,S  ,04/25/2000,08/03/2000,
737,JEMCO,28.66997700000001,-81.509884,http://echo.epa.gov/detailed-facility-report?fid=110016719906,FLR000095786,FL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,07/19/2010,09/07/2010,
738,GATORLAND COLLISION CENTER,29.684490999999998,-82.316681,http://echo.epa.gov/detailed-facility-report?fid=110024250335,FLR000123372,FL,261.A,ID and Listing of HW: General,S  ,09/13/2006,09/28/2006,
739,LUCAS HONDA OF JACKSONVILLE,30.20645,-81.73934,http://echo.epa.gov/detailed-facility-report?fid=110044806065,FLR000180034,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,11/10/2011,12/10/2011,
740,LUCAS HONDA OF JACKSONVILLE,30.20645,-81.73934,http://echo.epa.gov/detailed-facility-report?fid=110044806065,FLR000180034,FL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,11/10/2011,12/29/2011,
741,CELEBRITY CLEANERS,29.661533000000002,-82.325981,http://echo.epa.gov/detailed-facility-report?fid=110001739833,FL0000855189,FL,262.A,Standards Applicable to Generators of HW: General,S  ,06/11/1998,08/18/1998,
742,CELEBRITY CLEANERS,29.661533000000002,-82.325981,http://echo.epa.gov/detailed-facility-report?fid=110001739833,FL0000855189,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,06/11/1998,08/18/1998,
743,ACME LAUNDRY AND CLEANERS INC,28.551391,-81.393603,http://echo.epa.gov/detailed-facility-report?fid=110001416067,FLD056972045,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,04/26/2007,04/26/2007,
744,1 HOUR KORETIZING,30.389837,-81.680828,http://echo.epa.gov/detailed-facility-report?fid=110001741090,FLD063287858,FL,261.A,ID and Listing of HW: General,S  ,01/23/2006,02/06/2006,
745,1 HOUR KORETIZING,30.389837,-81.680828,http://echo.epa.gov/detailed-facility-report?fid=110001741090,FLD063287858,FL,262.A,Standards Applicable to Generators of HW: General,S  ,12/22/1986,01/16/1987,
746,1 HOUR KORETIZING,30.389837,-81.680828,http://echo.epa.gov/detailed-facility-report?fid=110001741090,FLD063287858,FL,261.A,ID and Listing of HW: General,S  ,03/08/2005,03/14/2005,
747,ORANGE COUNTY VEHICLE MAINTENANCE,28.508301,-81.415054,http://echo.epa.gov/detailed-facility-report?fid=110002545871,FLD981478977,FL,262.A,Standards Applicable to Generators of HW: General,S  ,05/29/1997,09/12/1997,10/10/1997
748,ORANGE COUNTY VEHICLE MAINTENANCE,28.508301,-81.415054,http://echo.epa.gov/detailed-facility-report?fid=110002545871,FLD981478977,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/29/1997,09/12/1997,10/10/1997
749,ORANGE COUNTY VEHICLE MAINTENANCE,28.508301,-81.415054,http://echo.epa.gov/detailed-facility-report?fid=110002545871,FLD981478977,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/29/1997,09/12/1997,10/10/1997
750,ORANGE COUNTY VEHICLE MAINTENANCE,28.508301,-81.415054,http://echo.epa.gov/detailed-facility-report?fid=110002545871,FLD981478977,FL,265.N,Interim Status Standards for Owners and Operators of HW TSDs: Landfills,S  ,05/29/1997,09/12/1997,10/10/1997
751,AAMCO TRANSMISSION,30.429365999999998,-81.671233,http://echo.epa.gov/detailed-facility-report?fid=110005596211,FLD984178145,FL,279.C,Standards for Used Oil: Generators,S  ,04/29/2009,07/15/2009,
752,AAMCO TRANSMISSION,30.429365999999998,-81.671233,http://echo.epa.gov/detailed-facility-report?fid=110005596211,FLD984178145,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,07/09/2012,08/28/2012,
753,AAMCO TRANSMISSION,30.429365999999998,-81.671233,http://echo.epa.gov/detailed-facility-report?fid=110005596211,FLD984178145,FL,279.C,Standards for Used Oil: Generators,S  ,07/09/2012,08/28/2012,
754,AAMCO TRANSMISSION,30.429365999999998,-81.671233,http://echo.epa.gov/detailed-facility-report?fid=110005596211,FLD984178145,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/29/2009,09/24/2009,
755,JACKSONVILLE TRANSFLO TERMINAL,30.326572,-81.719341,http://echo.epa.gov/detailed-facility-report?fid=110064132488,FLD984253526,FL,279.E,Standards for Used Oil: Transporter and Transfer Facilities,S  ,04/30/2010,07/29/2010,
756,JACKSONVILLE TRANSFLO TERMINAL,30.326572,-81.719341,http://echo.epa.gov/detailed-facility-report?fid=110064132488,FLD984253526,FL,265.A,Interim Status Standards for Owners and Operators of HW TSDs: General,S  ,02/20/2003,07/03/2003,
757,FLORIDA DEP DSCP D007 #169500345,30.362769,-81.60576400000002,http://echo.epa.gov/detailed-facility-report?fid=110007474517,FLR000026559,FL,261.A,ID and Listing of HW: General,S  ,10/19/2000,02/07/2001,
758,J & J TRUCK REPAIR & FLEET MAINTENANCE,30.345734000000004,-81.707371,http://echo.epa.gov/detailed-facility-report?fid=110016735194,FLR000098566,FL,279.C,Standards for Used Oil: Generators,S  ,01/29/2004,02/06/2004,
759,J & J TRUCK REPAIR & FLEET MAINTENANCE,30.345734000000004,-81.707371,http://echo.epa.gov/detailed-facility-report?fid=110016735194,FLR000098566,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,01/29/2004,02/06/2004,
760,"BEST-TEC ASBESTOS ABATEMENT, INC",30.33884500000001,-81.7518,http://echo.epa.gov/detailed-facility-report?fid=110032648142,FLR000141077,FL,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,10/13/2006,10/13/2006,
761,"BEST-TEC ASBESTOS ABATEMENT, INC",30.33884500000001,-81.7518,http://echo.epa.gov/detailed-facility-report?fid=110032648142,FLR000141077,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,01/06/2011,04/13/2011,
762,"BEST-TEC ASBESTOS ABATEMENT, INC",30.33884500000001,-81.7518,http://echo.epa.gov/detailed-facility-report?fid=110032648142,FLR000141077,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/06/2011,04/13/2011,
763,"BEST-TEC ASBESTOS ABATEMENT, INC",30.33884500000001,-81.7518,http://echo.epa.gov/detailed-facility-report?fid=110032648142,FLR000141077,FL,262.A,Standards Applicable to Generators of HW: General,S  ,10/13/2006,10/13/2006,
764,"BEST-TEC ASBESTOS ABATEMENT, INC",30.33884500000001,-81.7518,http://echo.epa.gov/detailed-facility-report?fid=110032648142,FLR000141077,FL,261.A,ID and Listing of HW: General,S  ,01/06/2011,04/13/2011,
765,TOM BUSH BMW OF ORANGE PARK,30.224420000000002,-81.73769,http://echo.epa.gov/detailed-facility-report?fid=110032648393,FLR000141366,FL,279.C,Standards for Used Oil: Generators,S  ,08/26/2009,12/11/2009,
766,TOM BUSH BMW OF ORANGE PARK,30.224420000000002,-81.73769,http://echo.epa.gov/detailed-facility-report?fid=110032648393,FLR000141366,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,08/26/2009,12/11/2009,
767,TOM BUSH BMW OF ORANGE PARK,30.224420000000002,-81.73769,http://echo.epa.gov/detailed-facility-report?fid=110032648393,FLR000141366,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,08/26/2009,12/11/2009,
768,JACKSONVILLE SHIPYARDS INC.,30.32368300000001,-81.64725899999998,http://echo.epa.gov/detailed-facility-report?fid=110002102554,FLD004053203,FL,270.A,EPA Administered Permit Programs: the HW Permit Program General Information,S  ,02/05/2003,08/22/2003,
769,JACKSONVILLE SHIPYARDS INC.,30.32368300000001,-81.64725899999998,http://echo.epa.gov/detailed-facility-report?fid=110002102554,FLD004053203,FL,262.A,Standards Applicable to Generators of HW: General,S  ,02/05/2003,08/22/2003,
770,JACKSONVILLE SHIPYARDS INC.,30.32368300000001,-81.64725899999998,http://echo.epa.gov/detailed-facility-report?fid=110002102554,FLD004053203,FL,262.A,Standards Applicable to Generators of HW: General,S  ,05/12/2003,08/22/2003,
771,JACKSONVILLE SHIPYARDS INC.,30.32368300000001,-81.64725899999998,http://echo.epa.gov/detailed-facility-report?fid=110002102554,FLD004053203,FL,270.A,EPA Administered Permit Programs: the HW Permit Program General Information,S  ,05/12/2003,08/22/2003,
772,INTERSTATE BRANDS CORP MERITA GARAGE,30.35005,-81.65056,http://echo.epa.gov/detailed-facility-report?fid=110002533955,FLD061898425,FL,262.A,Standards Applicable to Generators of HW: General,S  ,09/24/1987,10/19/1987,
773,INTERSTATE BRANDS CORP MERITA GARAGE,30.35005,-81.65056,http://echo.epa.gov/detailed-facility-report?fid=110002533955,FLD061898425,FL,279.C,Standards for Used Oil: Generators,S  ,09/14/1995,11/13/1995,12/13/1995
774,JACKSONVILLE TRANSPORTATION AUTHORITY,30.331953000000002,-81.678411,http://echo.epa.gov/detailed-facility-report?fid=110000872360,FLD077584423,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,12/14/1995,01/16/1996,
775,JACKSONVILLE TRANSPORTATION AUTHORITY,30.331953000000002,-81.678411,http://echo.epa.gov/detailed-facility-report?fid=110000872360,FLD077584423,FL,265.P,Interim Status Standards for Owners and Operators of HW TSDs: Thermal Treatment,S  ,12/14/1995,01/16/1996,
776,JACKSONVILLE TRANSPORTATION AUTHORITY,30.331953000000002,-81.678411,http://echo.epa.gov/detailed-facility-report?fid=110000872360,FLD077584423,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/07/1997,01/07/1997,01/07/1997
777,JACKSONVILLE TRANSPORTATION AUTHORITY,30.331953000000002,-81.678411,http://echo.epa.gov/detailed-facility-report?fid=110000872360,FLD077584423,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,12/14/1995,01/16/1996,
778,JACKSONVILLE TRANSPORTATION AUTHORITY,30.331953000000002,-81.678411,http://echo.epa.gov/detailed-facility-report?fid=110000872360,FLD077584423,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,12/14/1995,01/16/1996,
779,JACKSONVILLE TRANSPORTATION AUTHORITY,30.331953000000002,-81.678411,http://echo.epa.gov/detailed-facility-report?fid=110000872360,FLD077584423,FL,261.A,ID and Listing of HW: General,S  ,09/03/2003,10/15/2003,
780,JACKSONVILLE TRANSPORTATION AUTHORITY,30.331953000000002,-81.678411,http://echo.epa.gov/detailed-facility-report?fid=110000872360,FLD077584423,FL,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,12/14/1995,02/23/1996,
781,JACKSONVILLE TRANSPORTATION AUTHORITY,30.331953000000002,-81.678411,http://echo.epa.gov/detailed-facility-report?fid=110000872360,FLD077584423,FL,279.C,Standards for Used Oil: Generators,S  ,09/03/2003,10/15/2003,
782,JACKSONVILLE TRANSPORTATION AUTHORITY,30.331953000000002,-81.678411,http://echo.epa.gov/detailed-facility-report?fid=110000872360,FLD077584423,FL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,12/14/1995,03/06/1996,
783,JACKSONVILLE TRANSPORTATION AUTHORITY,30.331953000000002,-81.678411,http://echo.epa.gov/detailed-facility-report?fid=110000872360,FLD077584423,FL,262.A,Standards Applicable to Generators of HW: General,S  ,12/14/1995,01/22/1996,
784,JACKSONVILLE TRANSPORTATION AUTHORITY,30.331953000000002,-81.678411,http://echo.epa.gov/detailed-facility-report?fid=110000872360,FLD077584423,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,09/03/2003,10/15/2003,
785,DELRAY YACHT WORKS,30.360208,-81.648875,http://echo.epa.gov/detailed-facility-report?fid=110002560639,FLD982100646,FL,261.A,ID and Listing of HW: General,S  ,01/12/2004,02/27/2004,
786,BENS PAINT SUPPLY,29.686881,-82.320701,http://echo.epa.gov/detailed-facility-report?fid=110002560862,FLD982101255,FL,261.A,ID and Listing of HW: General,S  ,02/18/2010,04/29/2010,
787,SINGS EUROPEAN AUTOMOTIVE,30.2275,-81.737472,http://echo.epa.gov/detailed-facility-report?fid=110012577185,FLR000086215,FL,279.C,Standards for Used Oil: Generators,S  ,12/20/2011,12/20/2011,
788,SINGS EUROPEAN AUTOMOTIVE,30.2275,-81.737472,http://echo.epa.gov/detailed-facility-report?fid=110012577185,FLR000086215,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,12/20/2011,06/25/2012,
789,JOES GARAGE,28.80088,-81.281293,http://echo.epa.gov/detailed-facility-report?fid=110012551309,FLR000086785,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/08/2002,07/09/2004,
790,JOES GARAGE,28.80088,-81.281293,http://echo.epa.gov/detailed-facility-report?fid=110012551309,FLR000086785,FL,279.C,Standards for Used Oil: Generators,S  ,04/08/2002,07/09/2004,
791,PHOENIX PRODUCTS INC,30.345011,-81.634209,http://echo.epa.gov/detailed-facility-report?fid=110017873988,FLR000108571,FL,279.C,Standards for Used Oil: Generators,S  ,04/30/2004,07/27/2004,
792,TI GROUP AUTOMOTIVE SYSTEMS,28.804740000000002,-81.29642,http://echo.epa.gov/detailed-facility-report?fid=110027966510,FLR000128892,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,01/05/2011,03/04/2011,
793,TI GROUP AUTOMOTIVE SYSTEMS,28.804740000000002,-81.29642,http://echo.epa.gov/detailed-facility-report?fid=110027966510,FLR000128892,FL,262.A,Standards Applicable to Generators of HW: General,S  ,01/05/2011,03/04/2011,
794,TI GROUP AUTOMOTIVE SYSTEMS,28.804740000000002,-81.29642,http://echo.epa.gov/detailed-facility-report?fid=110027966510,FLR000128892,FL,279.C,Standards for Used Oil: Generators,S  ,01/05/2011,03/04/2011,
795,TRC AMERICA INC,28.61017,-81.41898,http://echo.epa.gov/detailed-facility-report?fid=110037314830,FLR000147207,FL,279.C,Standards for Used Oil: Generators,S  ,10/22/2009,12/04/2009,
796,TRC AMERICA INC,28.61017,-81.41898,http://echo.epa.gov/detailed-facility-report?fid=110037314830,FLR000147207,FL,262.A,Standards Applicable to Generators of HW: General,S  ,10/22/2009,12/04/2009,
797,TRC AMERICA INC,28.61017,-81.41898,http://echo.epa.gov/detailed-facility-report?fid=110037314830,FLR000147207,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,10/22/2009,12/04/2009,
798,HD SUPPLY CONSTRUCTION SUPPLY LTD,28.547299,-81.42396,http://echo.epa.gov/detailed-facility-report?fid=110069375214,FLR000219063,FL,262.A,Standards Applicable to Generators of HW: General,S  ,10/23/2018,12/11/2018,
799,HD SUPPLY CONSTRUCTION SUPPLY LTD,28.547299,-81.42396,http://echo.epa.gov/detailed-facility-report?fid=110069375214,FLR000219063,FL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,10/23/2018,12/11/2018,
800,PARKS PRODUCTION CENTER,28.456229999999998,-81.42192,http://echo.epa.gov/detailed-facility-report?fid=110035678264,FL0000001636,FL,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,01/31/2012,02/08/2012,
801,PARKS PRODUCTION CENTER,28.456229999999998,-81.42192,http://echo.epa.gov/detailed-facility-report?fid=110035678264,FL0000001636,FL,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,01/31/2012,01/31/2012,
802,PARKS PRODUCTION CENTER,28.456229999999998,-81.42192,http://echo.epa.gov/detailed-facility-report?fid=110035678264,FL0000001636,FL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,01/31/2012,02/01/2012,
803,AMREP AUTOMOTIVE PRODUCTS GROUP,30.329721999999997,-81.71777800000002,http://echo.epa.gov/detailed-facility-report?fid=110000361867,FLD020982716,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,04/19/1999,07/26/1999,07/19/1999
804,AMREP AUTOMOTIVE PRODUCTS GROUP,30.329721999999997,-81.71777800000002,http://echo.epa.gov/detailed-facility-report?fid=110000361867,FLD020982716,FL,268.A,Land Disposal Restrictions: General,S  ,01/19/1993,01/19/1993,
805,AMREP AUTOMOTIVE PRODUCTS GROUP,30.329721999999997,-81.71777800000002,http://echo.epa.gov/detailed-facility-report?fid=110000361867,FLD020982716,FL,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,11/04/2016,06/09/2017,
806,AMREP AUTOMOTIVE PRODUCTS GROUP,30.329721999999997,-81.71777800000002,http://echo.epa.gov/detailed-facility-report?fid=110000361867,FLD020982716,FL,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,S  ,08/27/1992,01/08/1993,
807,AMREP AUTOMOTIVE PRODUCTS GROUP,30.329721999999997,-81.71777800000002,http://echo.epa.gov/detailed-facility-report?fid=110000361867,FLD020982716,FL,262.A,Standards Applicable to Generators of HW: General,S  ,11/04/2016,06/09/2017,
