,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,ID_NUMBER,ACTIVITY_LOCATION,EVALUATION_IDENTIFIER,EVALUATION_TYPE,EVALUATION_DESC,EVALUATION_AGENCY,EVALUATION_START_DATE,FOUND_VIOLATION
630,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,001,FRR,FINANCIAL RECORD REVIEW,E  ,09/21/2010,N  
631,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/30/2007,N  
632,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,OAM,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,03/11/1993,N  
633,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/17/1993,N  
634,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,03/31/2009,N  
635,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,03/31/2011,N  
636,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/17/1997,N  
637,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/06/1998,N  
638,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/22/2009,N  
639,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,03/31/2010,N  
640,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,04/15/2004,N  
641,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/22/2010,N  
642,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/23/1991,N  
643,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/30/2004,N  
644,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/28/1996,N  
645,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/11/1993,Y  
646,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/23/1994,Y  
647,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,GME,GME,GROUNDWATER MONITORING EVALUATION,S  ,08/01/1990,N  
648,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/01/2005,N  
649,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,03/16/2012,N  
650,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/27/2008,N  
651,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,001,FRR,FINANCIAL RECORD REVIEW,E  ,06/30/2011,N  
652,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/03/1996,N  
653,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,05/04/1995,N  
654,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/27/2005,N  
655,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/21/2000,N  
656,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,07/20/2006,N  
657,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/21/2002,N  
658,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/07/2003,N  
659,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,07/20/2003,N  
660,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,04/15/1992,N  
661,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/05/1998,N  
662,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/27/1999,N  
663,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/28/2001,N  
664,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/14/1989,N  
665,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,GME,GME,GROUNDWATER MONITORING EVALUATION,S  ,08/21/1990,N  
666,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,04/16/1998,N  
667,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/14/2007,N  
668,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,11/15/2005,N  
669,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/27/1995,N  
670,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/08/2007,N  
671,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,02/29/2000,N  
672,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/07/2006,N  
673,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/08/2010,N  
674,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,SNN,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,09/17/2009,N  
675,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/20/1996,N  
676,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,04/26/1991,N  
677,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/24/2003,N  
678,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/26/2003,N  
679,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/07/1997,N  
680,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/23/1990,N  
681,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/15/1994,N  
682,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/01/1997,N  
683,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/27/2002,N  
684,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/24/1992,N  
685,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,11/03/1994,N  
686,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,06/02/1997,N  
687,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/07/1998,N  
688,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/11/2003,N  
689,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/11/2003,N  
690,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,APT,FRR,FINANCIAL RECORD REVIEW,E  ,04/09/1984,Y  
691,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/23/2013,N  
692,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,03/31/2013,N  
693,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,03/26/2015,N  
694,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,03/31/2015,N  
695,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,03/15/2015,N  
696,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,GME,GME,GROUNDWATER MONITORING EVALUATION,S  ,07/20/2016,N  
697,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,11/30/2015,N  
698,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,03/27/2013,N  
699,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,03/31/2014,N  
700,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/13/2016,N  
701,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,03/31/2017,N  
702,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/25/2017,N  
703,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,03/29/2018,N  
704,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,03/27/2019,N  
705,FORMER REFINED METALS SMELTING SITE,30.35453,-81.70983000000003,http://echo.epa.gov/detailed-facility-report?fid=110000787827,FLD080677347,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/12/2019,N  
706,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,SNN,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,09/13/2013,N  
707,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/16/2015,Y  
708,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/05/2004,N  
709,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/09/1998,Y  
710,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,01/18/1996,N  
711,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/11/2010,N  
712,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,12/08/1998,N  
713,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,11/18/1999,N  
714,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/12/2001,N  
715,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,SNY,SNY,SIGNIFICANT NON-COMPLIER,S  ,08/09/2012,N  
716,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/21/2006,N  
717,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/21/2012,Y  
718,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/22/1999,N  
719,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/16/2007,Y  
720,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/25/2003,N  
721,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/01/1997,Y  
722,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,10/05/1998,Y  
723,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/05/1989,N  
724,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/22/1997,N  
725,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/26/2002,N  
726,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,SNN,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,11/02/2012,N  
727,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/02/1995,N  
728,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,FUI,FUI,FOLLOW-UP INSPECTION,S  ,09/04/2013,N  
729,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/23/2013,Y  
730,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,SNY,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/15/2013,Y  
731,HOWCO ENVIRONMENTAL SERVICES,29.163128999999998,-81.540462,http://echo.epa.gov/detailed-facility-report?fid=110064133771,FLD101828689,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/12/2018,N  
732,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,08/16/1995,N  
733,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/19/1995,N  
734,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,06/25/1996,N  
735,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,11/06/1995,N  
736,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,07/12/1995,N  
737,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,CDI,CDI,CASE DEVELOPMENT INSPECTION,S  ,10/19/1995,N  
738,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/26/1994,Y  
739,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/18/1995,N  
740,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,CDI,CDI,CASE DEVELOPMENT INSPECTION,S  ,10/17/1995,N  
741,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,FUI,FUI,FOLLOW-UP INSPECTION,S  ,12/21/1995,N  
742,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,CDI,CDI,CASE DEVELOPMENT INSPECTION,S  ,10/16/1995,N  
743,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,02/02/1995,N  
744,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/16/1995,N  
745,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,06/20/1995,N  
746,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,12/21/1995,N  
747,MIRACLE MARBLE,28.830919,-81.325664,http://echo.epa.gov/detailed-facility-report?fid=110007427873,FLD982125775,FL,FUI,FUI,FOLLOW-UP INSPECTION,S  ,08/16/1995,N  
